HEADERS
Hierarchy - L1 | Hierarchy - L2 | Hierarchy - L3 | Hierarchy | Main Group - Code | Main Group Name | Sub Group - Code | Sub Group Name | NWB_AusHFG | NMHS_AssetCodes | NWB_MaintainabilityType | NWB_AssetTypeCode | NWB_AssetType | NWB_Discipline | NWB_Category | NWB_Material | NWB_SteelGrade | NWB_ConcreteStrength | NWB_System | NWB_AssetID | NWB_UniclassCode | NWB_UniclassDescription | NWB_DesignPkg | NWB_BuildingPermitPkg | NWB_Department | NWB_ SubDepartment | NWB_RoomID | NWB_RoomName | NWB_DimDiameter | NWB_DimHeight | NWB_DimLength | NWB_DimWidth | NWB_DimArea | NWB_DimVolume | NWB_WBSCode
ROW 46: Buildings | Architecture | Equipment | Buildings\Architecture\Equipment\ACOA | FI | Fixtures & Fittings | HR | Hooks, Brackets & Racks | FIHR | NA | 3 | ACOA | Coat Hook | Architecture | Fixtures | Material Description |  |  | Refer to Systems Table | jhu | Pr_40_30_78_15 | Clothes hooks | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 50: Buildings | Architecture | Equipment | Buildings\Architecture\Equipment\ADFN | HI | Hydraulic Services | GE | General | HYGE | WFN | 1 | ADFN | Drinking Fountation | Architecture | Equipment | Material Description |  |  | Refer to Systems Table | AssetTypeCode-Building-Level-ElementID (example "DPIT-M-GR-0001") | Pr_40_70_15_24 | Drinking fountains | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab | dRofus Room Data | dRofus Room Data | Site-Building-Level-XXX.X (example "OPH-M-L1-120.2") | dRofus Room Data | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 54: Buildings | Architecture | Equipment | Buildings\Architecture\Equipment\AGRB | FI | Fixtures & Fittings | RT | Rails & Tracks | FIRT | NA | 3 | AGRB | Grab rails | Architecture | Equipment | Material Description |  |  | Refer to Systems Table |  | Pr_25_30_36_34 | Grab rails | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 74: Buildings | Architecture | Fire Doors | Buildings\Architecture\Fire Doors\AFDR | DO | Doors | HI | Hinged | DOHI | FDR | 1 | AFDR | Fire Door | Architecture | Fire Doors | Material Description |  |  | Not Applicable (leave it empty) | AssetTypeCode-Building-Level-ElementID (example "DPIT-M-GR-0001") | Pr_65_12_71_10 | Chute automatic fire doors | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab | dRofus Room Data | dRofus Room Data | Site-Building-Level-XXX.X (example "OPH-M-L1-120.2") | dRofus Room Data | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 75: Buildings | Architecture | Furniture | Buildings\Architecture\Furniture\AMIR | FI | Fixtures & Fittings | BM | Boards & Mirrors | FIBO | NA | 3 | AMIR | Mirror | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_30_53 | Mirrors | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 76: Buildings | Architecture | Equipment | Buildings\Architecture\Equipment\AMBR | FI | Fixtures & Fittings | HR | Hooks, Brackets & Racks | FIHR | NA | 3 | AMBR | Mop / Broom Rack | Architecture | Fixtures | Material Description |  |  | Refer to Systems Table |  | Pr_40_30_78 | Shelves, hangers and racks | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 77: Buildings | Architecture | Equipment | Buildings\Architecture\Equipment\ASHL | FI | Fixtures & Fittings | JO | Joinery | FIJO | NA | 3 | ASHL | Shelf | Architecture | Fixtures | Material Description |  |  | Refer to Systems Table |  | Pr_40_30_78_78 | Shelves | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 78: Buildings | Architecture | Equipment | Buildings\Architecture\Fixtures\ASDP | FI | Fixtures & Fittings | DI | Dispensers & Holders | FIDI | NA | 3 | ASDP | Soap Dispenser | Architecture | Fixtures | Material Description |  |  | Refer to Systems Table |  | Pr_40_70_22_81 | Soap dispensers | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 79: Buildings | Architecture | Equipment | Buildings\Architecture\Fixtures\ADPS | FI | Fixtures & Fittings | DI | Dispensers & Holders | FIDI | WAL | 3 | ADPS | Wall dispensers | Architecture | Fixtures | Material Description |  |  | Refer to Systems Table |  | Pr_40_70_22 | Dispensers and acceptance units | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 80: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\AFCB | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | AFCB | Filling Cabinets | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_30_87_29 | Filling Cabinets | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 81: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\ABWS | FI | Fixtures & Fittings | HR | Hooks, Brackets & Racks | FIHR | WBN | 3 | ABWS | Bicycle wall stands | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_30_21_96 | Bicycle wall stands | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 82: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\AWCP | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | AWCP | WC pans | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_20_93_94 | WC pans | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 83: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\AURI | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | AURI | Urinals | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_20_93_82 | Wall-hung urinals | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 84: Buildings | Architecture | Equipment | Buildings\Architecture\Fixtures\ATRH | FI | Fixtures & Fittings | DI | Dispensers & Holders | FIDI | NA | 3 | ATRH | Toilet roll holders | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_20_76_88 | Toilet roll holders | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 85: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\ACWB | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | ACWB | Countertop washbasins | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_20_96_18 | Countertop washbasins | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 86: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\ASHH | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | AWBT | Washbasin taps | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_20_87_98 | Washbasin taps | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 87: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\AWBT | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | ASHH | Shower heads | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_20_87_76 | Shower heads | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 88: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\AMIX | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | AMIX | Mixer taps | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_20_87_55 | Mixer taps | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 89: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\ASTP | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | ASTP | Sink taps | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_20_87_84 | Sink taps | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 90: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\ASSH | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | ASSH | Safety showers | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_20_27_75 | Safety showers | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 91: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\ARUC | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | ARUC | Rubbish chutes | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | TE_70_10_80_74 | Rubbish chutes | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 92: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\AWWB | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | AWWB | Wall-hung washbasins | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  |  Pr_40_20_96_96 | Wall-hung washbasins | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 93: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\APBA | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | APBA | WC pan backrests | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_20_76_98 | WC pan backrests | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 94: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\AWSP | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | AWSP | Wheel stops | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_70_73_98 | Wheel stops | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 95: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\ANUC | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | ANUC | Nurse call units | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_75_75_04_57 | Nurse call units | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 96: Buildings | Architecture | Fixtures | Buildings\Architecture\Fixtures\AGMS | FI | Fixtures & Fittings | GE | General | FIGE | WBN | 3 | AGMS | Ground-mounted cycle stands | Architecture | Fixtures | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_30_21_35 | Ground-mounted cycle stands | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 100: Buildings | Architecture | Furniture | Buildings\Architecture\Furniture\ABEN | FI | Fixtures & Fittings | BS | Domestic Beds & Seating | FIBS | WBN | 3 | ABEN | Bench | Architecture | Furniture | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_50_12_07 | Benches | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 116: Buildings | Architecture | Casework | Buildings\Architecture\Casework\ACAC | AR |  |  |  |  | - | Not required | ACAC | Cable Access Cap | Architecture | Casework | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_65_70_11_90 | Trunking fittings | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 133: Buildings | Architecture | Equipment | Buildings\Architecture\Equipment\ADLC | AR |  |  |  |  | - | Not required | ADLC | Single Dirty Linen Carriers | Architecture | Equipment | Material Description |  |  | Not Applicable (leave it empty) |  | Pr_40_70_46 | Laundry fittings and equipment | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 151: Buildings | Architecture | Furniture | Buildings\Architecture\Furniture\AART | AR |  |  |  |  | - | 1 | AART | Art | Architecture | Furniture | Material Description |  |  | Not Applicable (leave it empty) | AssetTypeCode-Building-Level-ElementID (example "DPIT-M-GR-0001") | Pr_40_50_05 | Artwork products | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab | dRofus Room Data | dRofus Room Data | Site-Building-Level-XXX.X (example "OPH-M-L1-120.2") | dRofus Room Data | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 179: Precinct Civil | Civil - Drainage | Pipe Fitting | Precinct Civil\Civil - Drainage\Pipe Fitting\DASP | FS | Fire Services | DE | Detection | FSDE | NA | 3 | DASP | Aspirating Smoke Detection Sampling Point | Civil | Pipe Fitting |  |  |  | Refer to Systems Table |  | Pr_75_80_30_02 | Aspirating sampling points | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 187: Civil Structures | Civil - Bridges | Slab | Civil Structures\Civil - Bridges\Slab\BBDK | - | - | - | - | - | NA | 3 | BBDK | Bridge Deck | Civil | Slab |  |  |  | Not Applicable (leave it empty) |  | Pr_20_85_18 | Bridge deck products | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 188: Civil Structures | Civil - Retaining Walls + Miscellaneous | Slab | Civil Structures\Civil - Retaining Walls + Miscellaneous\Slab\RBDK | - | - | - | - | - | NA | 3 | RBDK | Bridge Deck | Civil | Slab |  |  |  | Not Applicable (leave it empty) |  | Pr_20_85_18 | Bridge deck products | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 189: Civil Structures | Civil - Bridges | Barrier | Civil Structures\Civil - Bridges\Barrier\BBDB | - | - | - | - | - | NA | 3 | BBDB | Bridge Deck Level Barrier | Civil | Barrier |  |  |  | Not Applicable (leave it empty) |  | Pr_20_85_18 | Bridge deck products | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 201: Precinct Civil | Civil - Lighting | Conduit | Precinct Civil\Civil - Lighting\Conduit\LCON | - | - | - | - | - | DCT | 3 | LCON | Conduit | Civil | Conduit |  |  |  | Refer to Systems Table |  | Pr_65_70_11_71 | Rigid conduit | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 204: Precinct Civil | Civil - Drainage | Pipe Fitting | Precinct Civil\Civil - Drainage\Pipe Fitting\DDIJ | - | - | - | - | - | NA | 3 | DDIJ | Dismantling Joint | Civil | Pipe Fitting |  |  |  | Refer to Systems Table |  | Pr_35_90_53 | Movement joints | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 208: Precinct Civil | Civil - Drainage | Pipe Fitting | Precinct Civil\Civil - Drainage\Pipe Fitting\DEPJ | - | - | - | - | - | NA | 3 | DEPJ | Expansion Joint | Civil | Pipe Fitting |  |  |  | Refer to Systems Table |  | Pr_35_90_27 | Expansion joints | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 210: Civil Structures | Civil - Bridges | Foundation | Civil Structures\Civil - Bridges\Foundation\BFOI | - | - | - | - | - | INS | 3 | BFOI | Foundation Insitu | Civil | Foundation |  |  |  | Not Applicable (leave it empty) |  | Pr_20_85_13 | Concrete base and foundation products | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 211: Civil Structures | Civil - Retaining Walls + Miscellaneous | Foundation | Civil Structures\Civil - Retaining Walls + Miscellaneous\Foundation\RFOI | - | - | - | - | - | INS | 3 | RFOI | Foundation Insitu | Civil | Foundation |  |  |  | Not Applicable (leave it empty) |  | Pr_20_85_13 | Concrete base and foundation products | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
ROW 212: Precinct Civil | Civil - Lighting | Foundation | Precinct Civil\Civil - Lighting\Foundation\LFOI | - | - | - | - | - | NA | 3 | LFOI | Foundation Insitu | Civil | Foundation |  |  |  | Not Applicable (leave it empty) |  | Pr_20_85_13 | Concrete base and foundation products | Work Package Number - Refer to Work Package Tab | Building Permit Item - Refer to Building Permit Tab |  |  |  |  | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (mm) | From Element Geometry (m²) | From Element Geometry (m³) | Refer to WBS tab - WBS00-WBS01-WBS02-WBS03-WBS04-WBS05 (example "WBH-EA-GR-Z00-CV-EW2")
