"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","name","size_text","parsed_width","parsed_height","parsed_diameter","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053444","Air Terminals","MHT_AT_S Air Diff Swirl","","LEVEL 09","No Damper","600x350","600","350","250","NWB_DimDiameter","250","250ø","250ø","SKIP","existing-kept","instance","Shared Parameter","7626172","NWB_DimDiameter","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053445","Mechanical Equipment","MHT_ME_FCU-IMD_Standard Profile1","","LEVEL 09","IMD 95 (450 L/s) 2","","","","","","","","","SKIP","size empty","","","","","","","",""
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053446","Ducts","Rectangular Duct","","LEVEL 09","Flanged Long Radius Elbows / Shoe Branch","400x300","400","300","","NWB_DimWidth","400","400","400","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053446","Ducts","Rectangular Duct","","LEVEL 09","Flanged Long Radius Elbows / Shoe Branch","400x300","400","300","","NWB_DimHeight","300","300","300","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053446","Ducts","Rectangular Duct","","LEVEL 09","Flanged Long Radius Elbows / Shoe Branch","400x300","400","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053451","Duct Fittings","MHT-ME-DF-Square Cap-BMA","","LEVEL 09","Standard","400x300","400","300","","NWB_DimWidth","400","300","300","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053451","Duct Fittings","MHT-ME-DF-Square Cap-BMA","","LEVEL 09","Standard","400x300","400","300","","NWB_DimHeight","300","0","0","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053451","Duct Fittings","MHT-ME-DF-Square Cap-BMA","","LEVEL 09","Standard","400x300","400","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053453","Duct Fittings","Plenum Box with Filter-R1","","LEVEL 09","Plenum Box with Filter","720x310-800x150-600x150-600x150","720","310","","NWB_DimWidth","720","200","200","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053453","Duct Fittings","Plenum Box with Filter-R1","","LEVEL 09","Plenum Box with Filter","720x310-800x150-600x150-600x150","720","310","","NWB_DimHeight","310","150","150","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053453","Duct Fittings","Plenum Box with Filter-R1","","LEVEL 09","Plenum Box with Filter","720x310-800x150-600x150-600x150","720","310","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053454","Duct Accessories","VOLUME CONTROL DAMPER SQUARE","","LEVEL 09","VOLUME CONTROL DAMPER - VCD","400x250-400x250","400","250","","NWB_DimWidth","400","400","400","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053454","Duct Accessories","VOLUME CONTROL DAMPER SQUARE","","LEVEL 09","VOLUME CONTROL DAMPER - VCD","400x250-400x250","400","250","","NWB_DimHeight","250","250","250","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053454","Duct Accessories","VOLUME CONTROL DAMPER SQUARE","","LEVEL 09","VOLUME CONTROL DAMPER - VCD","400x250-400x250","400","250","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053455","Duct Fittings","M_Rectangular_Transition_Angle","","LEVEL 09","Transition","800x150-400x250","800","150","","NWB_DimWidth","800","400","400","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053455","Duct Fittings","M_Rectangular_Transition_Angle","","LEVEL 09","Transition","800x150-400x250","800","150","","NWB_DimHeight","150","300","300","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053455","Duct Fittings","M_Rectangular_Transition_Angle","","LEVEL 09","Transition","800x150-400x250","800","150","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053456","Duct Fittings","M_Rectangular_Transition_Angle","","LEVEL 09","Transition","800x150-400x250","800","150","","NWB_DimWidth","800","720","720","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053456","Duct Fittings","M_Rectangular_Transition_Angle","","LEVEL 09","Transition","800x150-400x250","800","150","","NWB_DimHeight","150","310","310","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053456","Duct Fittings","M_Rectangular_Transition_Angle","","LEVEL 09","Transition","800x150-400x250","800","150","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053457","Duct Accessories","VOLUME CONTROL DAMPER SQUARE","","LEVEL 09","VOLUME CONTROL DAMPER_SQUARE MOTOR - BLADE","250x200-250x200","250","200","","NWB_DimWidth","250","250","250","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053457","Duct Accessories","VOLUME CONTROL DAMPER SQUARE","","LEVEL 09","VOLUME CONTROL DAMPER_SQUARE MOTOR - BLADE","250x200-250x200","250","200","","NWB_DimHeight","200","200","200","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053457","Duct Accessories","VOLUME CONTROL DAMPER SQUARE","","LEVEL 09","VOLUME CONTROL DAMPER_SQUARE MOTOR - BLADE","250x200-250x200","250","200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053468","Ducts","Rectangular Duct","","LEVEL 09","Flanged Long Radius Elbows / Shoe Branch","","","","","","","","","SKIP","worksharing: instance owned by Jeffrey.Lumen","","","","","","","",""
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053475","Ducts","Rectangular Duct","","LEVEL 09","Flanged Long Radius Elbows / Shoe Branch","1000x500","1000","500","","NWB_DimWidth","1000","1000","1000","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260801_161107","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 09","model","selection","skip","Both","skip-other-users","13053475","Ducts","Rectangular Duct","","LEVEL 09","Flanged Long Radius Elbows / Shoe Branch","1000x500","1000","500","","NWB_DimHeight","500","500","500","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
