"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","name","size_text","parsed_width","parsed_height","parsed_diameter","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count"
"20260816_213659","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - GROUND LEVEL","model","view","skip","Both","skip-other-users","7086734","Ducts","Rectangular Duct","","GROUND LOWER","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimWidth","1200","1200","1200","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260816_213659","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - GROUND LEVEL","model","view","skip","Both","skip-other-users","7086734","Ducts","Rectangular Duct","","GROUND LOWER","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimHeight","1200","1200","1200","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260816_213659","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - GROUND LEVEL","model","view","skip","Both","skip-other-users","7086734","Ducts","Rectangular Duct","","GROUND LOWER","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260816_213659","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - GROUND LEVEL","model","view","skip","Both","skip-other-users","11602941","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","500x350","500","350","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260816_213659","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - GROUND LEVEL","model","view","skip","Both","skip-other-users","11605448","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","400x300","400","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260816_213659","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - GROUND LEVEL","model","view","skip","Both","skip-other-users","11608800","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","200x200","200","200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260816_213659","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - GROUND LEVEL","model","view","skip","Both","skip-other-users","12076824","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","250x200","250","200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260816_213659","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - GROUND LEVEL","model","view","skip","Both","skip-other-users","12076876","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","500x300","500","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260816_213659","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - GROUND LEVEL","model","view","skip","Both","skip-other-users","12082389","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","350x300","350","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260816_213659","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - GROUND LEVEL","model","view","skip","Both","skip-other-users","12082766","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","400x300","400","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
