"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","name","size_text","parsed_width","parsed_height","parsed_diameter","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7086708","Ducts","Rectangular Duct","","LEVEL 02","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimWidth","1200","1200","1200","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7086708","Ducts","Rectangular Duct","","LEVEL 02","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimHeight","1200","1200","1200","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7086708","Ducts","Rectangular Duct","","LEVEL 02","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7086722","Ducts","Rectangular Duct","","GROUND","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimWidth","1200","1200","1200","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7086722","Ducts","Rectangular Duct","","GROUND","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimHeight","1200","1200","1200","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7086722","Ducts","Rectangular Duct","","GROUND","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7086734","Ducts","Rectangular Duct","","GROUND LOWER","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimWidth","1200","1200","1200","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7086734","Ducts","Rectangular Duct","","GROUND LOWER","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimHeight","1200","1200","1200","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7086734","Ducts","Rectangular Duct","","GROUND LOWER","VOID RISER_PLACE HOLDER","1200x1200","1200","1200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7109444","Ducts","Rectangular Duct","","LEVEL 06","Flanged Medium Radius Elbows / Tap Branch","1150x1150","1150","1150","","NWB_DimWidth","1150","1150","1150","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7109444","Ducts","Rectangular Duct","","LEVEL 06","Flanged Medium Radius Elbows / Tap Branch","1150x1150","1150","1150","","NWB_DimHeight","1150","1150","1150","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7109444","Ducts","Rectangular Duct","","LEVEL 06","Flanged Medium Radius Elbows / Tap Branch","1150x1150","1150","1150","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7221332","Ducts","Rectangular Duct","","GROUND","Flanged Medium Radius Elbows / Tap Branch","800x700","800","700","","NWB_DimWidth","800","600","600","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7221332","Ducts","Rectangular Duct","","GROUND","Flanged Medium Radius Elbows / Tap Branch","800x700","800","700","","NWB_DimHeight","700","700","700","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7221332","Ducts","Rectangular Duct","","GROUND","Flanged Medium Radius Elbows / Tap Branch","800x700","800","700","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7299538","Ducts","Rectangular Duct","","LEVEL 06","Flanged Medium Radius Elbows / Tap Branch","1150x1150","1150","1150","","NWB_DimWidth","1150","1150","1150","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7299538","Ducts","Rectangular Duct","","LEVEL 06","Flanged Medium Radius Elbows / Tap Branch","1150x1150","1150","1150","","NWB_DimHeight","1150","1150","1150","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7299538","Ducts","Rectangular Duct","","LEVEL 06","Flanged Medium Radius Elbows / Tap Branch","1150x1150","1150","1150","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7536429","Ducts","Rectangular Duct","","GROUND","Flanged Medium Radius Elbows / Tap Branch","900x1200","900","1200","","NWB_DimWidth","900","900","900","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7536429","Ducts","Rectangular Duct","","GROUND","Flanged Medium Radius Elbows / Tap Branch","900x1200","900","1200","","NWB_DimHeight","1200","900","900","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","7536429","Ducts","Rectangular Duct","","GROUND","Flanged Medium Radius Elbows / Tap Branch","900x1200","900","1200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","11602941","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","500x350","500","350","","NWB_DimWidth","500","500","500","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","11602941","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","500x350","500","350","","NWB_DimHeight","350","350","350","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","11602941","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","500x350","500","350","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","11605448","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","400x300","400","300","","NWB_DimWidth","400","400","400","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","11605448","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","400x300","400","300","","NWB_DimHeight","300","300","300","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","11605448","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","400x300","400","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","11608800","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","200x200","200","200","","NWB_DimWidth","200","200","200","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","11608800","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","200x200","200","200","","NWB_DimHeight","200","200","200","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","11608800","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","200x200","200","200","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12076824","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","250x200","250","200","","NWB_DimWidth","250","250","250","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260817_024947","NWB Dim AutoFill","{3D - Gino.MorenoHVPST}","model","view","skip","Both","skip-other-users","12076824","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","250x200","250","200","","NWB_DimHeight","200","200","200","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
