"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","system","name","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count","asset_score","asset_type_code","derived_asset_id","asset_id_rule","asset_id_reason","asset_type","asset_category","linked_room_source","linked_room_link","linked_room_number","linked_room_name","linked_room_department","linked_room_subdepartment","linked_room_building","linked_room_site","resolved_department","resolved_subdepartment","resolved_building","resolved_site","derived_wbs00","derived_wbs01","derived_wbs03","derived_wbs05","derived_wbs_code"
"20260802_141347","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 08","model","selection","smart","Both","skip-other-users","7262911","Ducts","Rectangular Duct","","LEVEL 06","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_UniclassDescription","Ductwork and fittings","Ductwork and fittings","Ductwork and fittings","SKIP","already-matches","instance","Shared Parameter","7626166","NWB_UniclassDescription","String","False","1","1","45","MDUC","MDUC-HO-06-7262911","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","connected-miss:d4:visited2","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260802_141347","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 08","model","selection","smart","Both","skip-other-users","7262911","Ducts","Rectangular Duct","","LEVEL 06","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_DesignPkg","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","NWB-GEN-ME-SCM-1091-A","SKIP","already-matches","instance","Shared Parameter","7626167","NWB_DesignPkg","String","False","1","1","45","MDUC","MDUC-HO-06-7262911","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","connected-miss:d4:visited2","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260802_141347","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 08","model","selection","smart","Both","skip-other-users","7262911","Ducts","Rectangular Duct","","LEVEL 06","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_BuildingPermitPkg","WBH - BP09","","","SKIP","missing","","","","NWB_BuildingPermitPkg","","","0","0","45","MDUC","MDUC-HO-06-7262911","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","connected-miss:d4:visited2","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260802_141347","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 08","model","selection","smart","Both","skip-other-users","7262911","Ducts","Rectangular Duct","","LEVEL 06","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS00","WBH","","","SKIP","readonly","","","","NWB_WBS00","","","1","0","45","MDUC","MDUC-HO-06-7262911","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","connected-miss:d4:visited2","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260802_141347","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 08","model","selection","smart","Both","skip-other-users","7262911","Ducts","Rectangular Duct","","LEVEL 06","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS01","HO","","","SKIP","readonly","","","","NWB_WBS01","","","1","0","45","MDUC","MDUC-HO-06-7262911","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","connected-miss:d4:visited2","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260802_141347","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 08","model","selection","smart","Both","skip-other-users","7262911","Ducts","Rectangular Duct","","LEVEL 06","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS02","06","06","06","SKIP","already-matches","instance","Shared Parameter","9214786","NWB_WBS02","String","False","1","1","45","MDUC","MDUC-HO-06-7262911","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","connected-miss:d4:visited2","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260802_141347","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 08","model","selection","smart","Both","skip-other-users","7262911","Ducts","Rectangular Duct","","LEVEL 06","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS03","Z00","Z00","Z00","SKIP","already-matches","instance","Shared Parameter","9214750","NWB_WBS03","String","False","1","1","45","MDUC","MDUC-HO-06-7262911","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","connected-miss:d4:visited2","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260802_141347","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 08","model","selection","smart","Both","skip-other-users","7262911","Ducts","Rectangular Duct","","LEVEL 06","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS04","ME","","","SKIP","readonly","","","","NWB_WBS04","","","1","0","45","MDUC","MDUC-HO-06-7262911","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","connected-miss:d4:visited2","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260802_141347","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 08","model","selection","smart","Both","skip-other-users","7262911","Ducts","Rectangular Duct","","LEVEL 06","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBS05","SI5","","","SKIP","readonly","","","","NWB_WBS05","","","1","0","45","MDUC","MDUC-HO-06-7262911","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","connected-miss:d4:visited2","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
"20260802_141347","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 08","model","selection","smart","Both","skip-other-users","7262911","Ducts","Rectangular Duct","","LEVEL 06","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_WBSCode","WBH-HO-06-Z00-ME-SI5","WBH-HO-06-Z00-ME-SI5","WBH-HO-06-Z00-ME-SI5","SKIP","already-matches","instance","Shared Parameter","9214774","NWB_WBSCode","String","False","1","1","45","MDUC","MDUC-HO-06-7262911","default","generated from matched Asset Master row with blank NWB_AssetID","Ductwork","Ductwork","connected-miss:d4:visited2","","","","","","","","","","","","WBH","HO","Z00","SI5","WBH-HO-06-Z00-ME-SI5"
