"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","system","name","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count","asset_score","asset_type_code","asset_type","asset_category","linked_room_source","linked_room_link","linked_room_number","linked_room_name","linked_room_department","linked_room_building","linked_room_site","resolved_department","resolved_building","resolved_site","derived_wbs00","derived_wbs01","derived_wbs03","derived_wbs05","derived_wbs_code"
"20260801_233031","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 07","model","selection","smart","Both","skip-other-users","7647002","Duct Accessories","MHT-ME-DA-Damper (Motorized)","","LEVEL 07","Exhaust Air","MVCD","NWB_Department","PAT","PAT","PAT","SKIP","already-matches","instance","Shared Parameter","7626168","NWB_Department","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected-miss:d4:visited7","","","","","","","PAT","","","WBH","HO","PAT","SI5","WBH-HO-07-PAT-ME-SI5"
"20260801_233031","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 07","model","selection","smart","Both","skip-other-users","7647002","Duct Accessories","MHT-ME-DA-Damper (Motorized)","","LEVEL 07","Exhaust Air","MVCD","NWB_Material","","","","SKIP","workbook material blank and model material missing","","","","NWB_Material","","","","","45","MDUC","Ductwork","Ductwork","connected-miss:d4:visited7","","","","","","","PAT","","","WBH","HO","PAT","SI5","WBH-HO-07-PAT-ME-SI5"
"20260801_233031","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 07","model","selection","smart","Both","skip-other-users","7647002","Duct Accessories","MHT-ME-DA-Damper (Motorized)","","LEVEL 07","Exhaust Air","MVCD","NWB_BuildingPermitPkg","WBH - BP09","","","SKIP","missing","","","","NWB_BuildingPermitPkg","","","0","0","45","MDUC","Ductwork","Ductwork","connected-miss:d4:visited7","","","","","","","PAT","","","WBH","HO","PAT","SI5","WBH-HO-07-PAT-ME-SI5"
"20260801_233031","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 07","model","selection","smart","Both","skip-other-users","7647002","Duct Accessories","MHT-ME-DA-Damper (Motorized)","","LEVEL 07","Exhaust Air","MVCD","NWB_WBS01","HO","HO","HO","SKIP","already-matches","instance","Shared Parameter","9214798","NWB_WBS01","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected-miss:d4:visited7","","","","","","","PAT","","","WBH","HO","PAT","SI5","WBH-HO-07-PAT-ME-SI5"
"20260801_233031","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 07","model","selection","smart","Both","skip-other-users","7647002","Duct Accessories","MHT-ME-DA-Damper (Motorized)","","LEVEL 07","Exhaust Air","MVCD","NWB_WBS02","07","07","07","SKIP","already-matches","instance","Shared Parameter","9214786","NWB_WBS02","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected-miss:d4:visited7","","","","","","","PAT","","","WBH","HO","PAT","SI5","WBH-HO-07-PAT-ME-SI5"
"20260801_233031","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 07","model","selection","smart","Both","skip-other-users","7647002","Duct Accessories","MHT-ME-DA-Damper (Motorized)","","LEVEL 07","Exhaust Air","MVCD","NWB_WBS03","PAT","PAT","PAT","SKIP","already-matches","instance","Shared Parameter","9214750","NWB_WBS03","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected-miss:d4:visited7","","","","","","","PAT","","","WBH","HO","PAT","SI5","WBH-HO-07-PAT-ME-SI5"
"20260801_233031","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 07","model","selection","smart","Both","skip-other-users","7647002","Duct Accessories","MHT-ME-DA-Damper (Motorized)","","LEVEL 07","Exhaust Air","MVCD","NWB_WBS04","ME","ME","ME","SKIP","already-matches","instance","Shared Parameter","9214762","NWB_WBS04","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected-miss:d4:visited7","","","","","","","PAT","","","WBH","HO","PAT","SI5","WBH-HO-07-PAT-ME-SI5"
"20260801_233031","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 07","model","selection","smart","Both","skip-other-users","7647002","Duct Accessories","MHT-ME-DA-Damper (Motorized)","","LEVEL 07","Exhaust Air","MVCD","NWB_WBS05","SI5","SI5","SI5","SKIP","already-matches","instance","Shared Parameter","9214810","NWB_WBS05","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected-miss:d4:visited7","","","","","","","PAT","","","WBH","HO","PAT","SI5","WBH-HO-07-PAT-ME-SI5"
"20260801_233031","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 07","model","selection","smart","Both","skip-other-users","7647003","Ducts","Rectangular Duct","","LEVEL 07","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_AssetTypeCode","MDUC","MDUC","MDUC","SKIP","already-matches","instance","Shared Parameter","7626182","NWB_AssetTypeCode","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected-miss:d4:visited7","","","","","","","PAT","","","WBH","HO","PAT","SI5","WBH-HO-07-PAT-ME-SI5"
"20260801_233031","NWB_PARAMETERS AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 07","model","selection","smart","Both","skip-other-users","7647003","Ducts","Rectangular Duct","","LEVEL 07","Exhaust Air","Flanged Long Radius Elbows / Shoe Branch","NWB_AssetType","Ductwork","Ductwork","Ductwork","SKIP","already-matches","instance","Shared Parameter","7626181","NWB_AssetType","String","False","1","1","45","MDUC","Ductwork","Ductwork","connected-miss:d4:visited7","","","","","","","PAT","","","WBH","HO","PAT","SI5","WBH-HO-07-PAT-ME-SI5"
