"run_stamp","tool","view_name","view_mode","processing_scope","write_mode","parameter_target_mode","worksharing_mode","element_id","category","family","type","level","name","size_text","parsed_width","parsed_height","parsed_diameter","target_parameter","requested_value","actual_before","actual_after","outcome","reason","target_scope","target_kind","target_param_id","target_definition_name","target_storage","target_is_read_only","candidate_count","selected_target_count"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","270499","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","2350x1175","2350","1175","","NWB_DimWidth","2350","2350","2350","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","270499","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","2350x1175","2350","1175","","NWB_DimHeight","1175","1175","1175","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","270499","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","2350x1175","2350","1175","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","270634","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","2350x1175","2350","1175","","NWB_DimWidth","2350","2350","2350","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","270634","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","2350x1175","2350","1175","","NWB_DimHeight","1175","1175","1175","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","270634","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","2350x1175","2350","1175","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","1000x2400","1000","2400","","NWB_DimWidth","1000","2350","2350","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","1000x2400","1000","2400","","NWB_DimHeight","2400","1175","1175","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","2954954","Ducts","Rectangular Duct","","GROUND","Flanged Long Radius Elbows / Shoe Branch","1000x2400","1000","2400","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","3004131","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","1000x1100","1000","1100","","NWB_DimWidth","1000","2350","2350","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","3004131","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","1000x1100","1000","1100","","NWB_DimHeight","1100","1175","1175","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","3004131","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","1000x1100","1000","1100","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","5532983","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","1700x1700","1700","1700","","NWB_DimWidth","1700","2350","2350","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","5532983","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","1700x1700","1700","1700","","NWB_DimHeight","1700","1175","1175","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","5532983","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","1700x1700","1700","1700","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","7705314","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","500x500","500","500","","NWB_DimWidth","500","2350","2350","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","7705314","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","500x500","500","500","","NWB_DimHeight","500","1175","1175","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","7705314","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","500x500","500","500","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","7750216","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","350x300","350","300","","NWB_DimWidth","350","2350","2350","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","7750216","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","350x300","350","300","","NWB_DimHeight","300","1175","1175","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","7750216","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","350x300","350","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","7752111","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","250x300","250","300","","NWB_DimWidth","250","2350","2350","SKIP","existing-kept","instance","Shared Parameter","7626175","NWB_DimWidth","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","7752111","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","250x300","250","300","","NWB_DimHeight","300","1175","1175","SKIP","existing-kept","instance","Shared Parameter","7626170","NWB_DimHeight","String","False","1","1"
"20260818_183014","NWB Dim AutoFill","MECHANICAL DUCTWORK LAYOUT - LEVEL 01","model","view","skip","SharedOnly","skip-other-users","7752111","Ducts","Rectangular Duct","","LEVEL 01","Flanged Long Radius Elbows / Shoe Branch","250x300","250","300","","NWB_DimDiameter","","","","SKIP","no parsed value","","","","NWB_DimDiameter","","","",""
